builder_name,config_name,is_config,description_size,download_size(bytes),has_homepage,version,has_license,has_train_split,has_test_split,has_validation_split
ade_corpus_v2,Ade_corpus_v2_classification,1,439,3791162,1,1.0.0,0,1,0,0
ade_corpus_v2,Ade_corpus_v2_drug_ade_relation,1,439,3791162,1,1.0.0,0,1,0,0
ade_corpus_v2,Ade_corpus_v2_drug_dosage_relation,1,439,3791162,1,1.0.0,0,1,0,0
adversarial_qa,adversarialQA,1,671,9018914,1,1.0.0,0,1,1,1
adversarial_qa,dbidaf,1,671,9018914,1,1.0.0,0,1,1,1
adversarial_qa,dbert,1,671,9018914,1,1.0.0,0,1,1,1
adversarial_qa,droberta,1,671,9018914,1,1.0.0,0,1,1,1
aeslc,default,0,167,11643743,1,1.0.0,0,1,1,1
afrikaans_ner_corpus,afrikaans_ner_corpus,1,158,25748344,1,1.0.0,0,1,0,0
ag_news,default,0,973,31327765,1,0.0.0,0,1,1,0
ai2_arc,ARC-Challenge,1,559,680841265,1,1.0.0,0,1,1,1
ai2_arc,ARC-Easy,1,559,680841265,1,1.0.0,0,1,1,1
air_dialogue,air_dialogue_data,1,345,272898923,1,1.1.0,1,1,0,1
air_dialogue,air_dialogue_kb,1,345,272898923,1,1.1.0,1,1,0,1
ajgt_twitter_ar,plain_text,1,159,107395,1,1.0.0,0,1,0,0
allegro_reviews,default,0,493,2314847,1,1.1.0,1,1,1,1
allocine_dataset,allocine,1,299,66625305,1,1.0.0,0,1,1,1
alt,alt-parallel,1,707,21285784,1,1.0.0,0,1,1,1
amazon_reviews_multi,all_languages,1,1293,640320386,1,1.0.0,1,1,1,1
amazon_reviews_multi,de,1,1293,94802490,1,1.0.0,1,1,1,1
amazon_reviews_multi,en,1,1293,86094112,1,1.0.0,1,1,1,1
amazon_reviews_multi,es,1,1293,81345461,1,1.0.0,1,1,1,1
amazon_reviews_multi,fr,1,1293,85917293,1,1.0.0,1,1,1,1
amazon_reviews_multi,ja,1,1293,177773783,1,1.0.0,1,1,1,1
amazon_reviews_multi,zh,1,1293,114387247,1,1.0.0,1,1,1,1
amazon_us_reviews,Wireless_v1_00,1,2303,1704713674,1,0.1.0,0,1,0,0
amazon_us_reviews,Watches_v1_00,1,2303,162973819,1,0.1.0,0,1,0,0
amazon_us_reviews,Video_Games_v1_00,1,2303,475199894,1,0.1.0,0,1,0,0
amazon_us_reviews,Video_DVD_v1_00,1,2303,1512355451,1,0.1.0,0,1,0,0
amazon_us_reviews,Video_v1_00,1,2303,138929896,1,0.1.0,0,1,0,0
amazon_us_reviews,Toys_v1_00,1,2303,838451398,1,0.1.0,0,1,0,0
amazon_us_reviews,Tools_v1_00,1,2303,333782939,1,0.1.0,0,1,0,0
amazon_us_reviews,Sports_v1_00,1,2303,872478735,1,0.1.0,0,1,0,0
amazon_us_reviews,Software_v1_00,1,2303,94010685,1,0.1.0,0,1,0,0
amazon_us_reviews,Shoes_v1_00,1,2303,642255314,1,0.1.0,0,1,0,0
amazon_us_reviews,Pet_Products_v1_00,1,2303,515815253,1,0.1.0,0,1,0,0
